Date : 2020-07-10 10:51:20
Directory : c:\Users\herbe\Documents\LearnRust\noxfutura
Total : 176 files,  11968 codes, 274 comments, 1403 blanks, all 13645 lines

Languages
+-----------------------------+------------+------------+------------+------------+------------+
| language                    | files      | code       | comment    | blank      | total      |
| c:\Users\herbe\Documents\LearnRust\noxfutura\nox_components\src\render\tint.rs                            | Rust                        |          6 |          0 |          2 |          8 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\nox_components\src\render\voxel_model.rs                     | Rust                        |          7 |          0 |          2 |          9 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\nox_components\src\serialize.rs                              | Rust                        |        399 |          7 |         23 |        429 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\nox_components\src\spatial\dimensions.rs                     | Rust                        |          8 |          0 |          2 |         10 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\nox_components\src\spatial\mod.rs                            | Rust                        |          6 |          0 |          1 |          7 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\nox_components\src\spatial\position.rs                       | Rust                        |          8 |          0 |          2 |         10 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\nox_components\src\spatial\world_position.rs                 | Rust                        |          7 |          0 |          2 |          9 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\nox_components\src\spawner\building.rs                       | Rust                        |         68 |          1 |          8 |         77 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\nox_components\src\spawner\clothing.rs                       | Rust                        |         60 |          0 |          8 |         68 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\nox_components\src\spawner\items.rs                          | Rust                        |        127 |          0 |          5 |        132 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\nox_components\src\spawner\mod.rs                            | Rust                        |          8 |          0 |          1 |          9 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\nox_components\src\spawner\plant.rs                          | Rust                        |         63 |          0 |          3 |         66 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\nox_components\src\species.rs                                | Rust                        |         46 |          1 |          7 |         54 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\nox_components\src\tags.rs                                   | Rust                        |         16 |          0 |          6 |         22 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\nox_components\src\text\description.rs                       | Rust                        |          6 |          0 |          2 |          8 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\nox_components\src\text\mod.rs                               | Rust                        |          6 |          0 |          1 |          7 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\nox_components\src\text\name.rs                              | Rust                        |          6 |          0 |          2 |          8 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\nox_components\src\text\tagline.rs                           | Rust                        |          6 |          0 |          2 |          8 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\nox_planet\Cargo.toml                                        | TOML                        |         22 |          1 |          3 |         26 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\nox_planet\src\biome.rs                                      | Rust                        |         31 |          0 |          3 |         34 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\nox_planet\src\block.rs                                      | Rust                        |         23 |          0 |          3 |         26 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\nox_planet\src\builder\biomes.rs                             | Rust                        |        171 |          4 |         28 |        203 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\nox_planet\src\builder\mod.rs                                | Rust                        |        115 |          5 |         16 |        136 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\nox_planet\src\builder\noise_helper.rs                       | Rust                        |         26 |          4 |          8 |         38 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\nox_planet\src\builder\planet_categories.rs                  | Rust                        |        133 |          0 |         11 |        144 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\nox_planet\src\builder\planet_noise.rs                       | Rust                        |         86 |          5 |          9 |        100 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\nox_planet\src\builder\rivers.rs                             | Rust                        |        109 |          0 |          8 |        117 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\nox_planet\src\groundz.rs                                    | Rust                        |         18 |          0 |          3 |         21 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\nox_planet\src\indices.rs                                    | Rust                        |         19 |          0 |          5 |         24 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\nox_planet\src\lib.rs                                        | Rust                        |         36 |          0 |          3 |         39 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\nox_planet\src\planet.rs                                     | Rust                        |         46 |          0 |          6 |         52 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\nox_planet\src\planet_render.rs                              | Rust                        |        106 |          0 |         13 |        119 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\nox_planet\src\region\builder\beaches.rs                     | Rust                        |         20 |          1 |          2 |         23 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\nox_planet\src\region\builder\buildings.rs                   | Rust                        |        163 |          1 |          9 |        173 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\nox_planet\src\region\builder\debris.rs                      | Rust                        |         25 |          0 |          3 |         28 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\nox_planet\src\region\builder\flags.rs                       | Rust                        |         26 |          0 |          3 |         29 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\nox_planet\src\region\builder\game_components.rs             | Rust                        |         35 |          0 |          2 |         37 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\nox_planet\src\region\builder\heightmap.rs                   | Rust                        |        101 |         37 |         12 |        150 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\nox_planet\src\region\builder\mod.rs                         | Rust                        |         82 |          0 |         17 |         99 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\nox_planet\src\region\builder\plants.rs                      | Rust                        |         42 |          3 |          4 |         49 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\nox_planet\src\region\builder\primitive.rs                   | Rust                        |         11 |          0 |          1 |         12 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\nox_planet\src\region\builder\ramping.rs                     | Rust                        |         28 |          0 |          2 |         30 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\nox_planet\src\region\builder\settlers.rs                    | Rust                        |        211 |          1 |         23 |        235 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\nox_planet\src\region\builder\strata.rs                      | Rust                        |        161 |         15 |         21 |        197 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\nox_planet\src\region\builder\trees.rs                       | Rust                        |         71 |          2 |          6 |         79 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\nox_planet\src\region\builder\water_features.rs              | Rust                        |        192 |          5 |         16 |        213 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\nox_planet\src\region\mod.rs                                 | Rust                        |         55 |          1 |          7 |         63 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\nox_planet\src\region\tiletype.rs                            | Rust                        |         25 |          0 |          4 |         29 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\nox_planet\src\rex.rs                                        | Rust                        |         91 |         27 |         15 |        133 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\nox_planet\src\river.rs                                      | Rust                        |         21 |          0 |          4 |         25 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\nox_planet\src\savedgame.rs                                  | Rust                        |         34 |          0 |          6 |         40 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\nox_planet\src\sphere.rs                                     | Rust                        |         14 |          0 |          2 |         16 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\nox_planet\src\worldgen_render.rs                            | Rust                        |         49 |          0 |          8 |         57 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\nox_raws\Cargo.toml                                          | TOML                        |         12 |          1 |          3 |         16 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\nox_raws\src\blocktype.rs                                    | Rust                        |         32 |          0 |          3 |         35 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\nox_raws\src\formats\biomes.rs                               | Rust                        |         50 |          0 |          7 |         57 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\nox_raws\src\formats\buildings.rs                            | Rust                        |         72 |          0 |          9 |         81 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\nox_raws\src\formats\clothing.rs                             | Rust                        |         46 |          0 |          6 |         52 |
